Customer Name,Customer Mobile,Customer Email,Bill Date,Items,Bill Amount,Store Code
Rohit Kapoor,8826011152,,17/10/2025 18:30,Assorted Sweets Box|gift-boxes|1|650; Gulab Jamun|sweets|3|180; Assorted Sweets Box|gift-boxes|2|650,2490,DDU-GK
Anita Sharma,+91-9953011184,,17/10/2025 18:30,Kaju 500g|dry-fruits|1|450; Assorted Sweets Box|gift-boxes|1|650,1100,DDU-GK
Arun Mehta,919654011080,,15/10/2025 18:30,Pista 250g|dry-fruits|3|520; Badam 500g|dry-fruits|3|380,2700,DDU-CP
Neha Saxena,96540 11265,,15/10/2025 18:30,Premium Gift Box|gift-boxes|2|1200; Dry Fruit Sweets Box|gift-boxes|1|850; Dry Fruit Sweets Box|gift-boxes|1|850,4100,DDU-NOIDA
Sachin Gupta,09810011816,sachin.gupta23@gmail.com,17/09/2025 12:00,Kachori|namkeen|10|25; Atta Biscuits|bakery|2|60; Motichoor Ladoo|sweets|1|200,570,DDU-NOIDA
Sanjay Chopra,9717011781,sanjay.chopra78@gmail.com,10/09/2025 12:00,Fruit Cake|bakery|2|150; Kaju Katli|sweets|2|275; Atta Biscuits|bakery|2|60,970,DDU-NOIDA
Neha Saxena,09654011265,,04/08/2025 17:00,Premium Gift Box|gift-boxes|3|1200; Soan Papdi|sweets|1|150; Rasgulla|sweets|2|160; Assorted Sweets Box|gift-boxes|2|650,5370,DDU-NOIDA
Karan Verma,+91-9810011295,karan.verma67@gmail.com,04/08/2025 17:00,Jalebi|sweets|2|120; Dry Fruit Sweets Box|gift-boxes|1|850; Assorted Sweets Box|gift-boxes|3|650; Assorted Sweets Box|gift-boxes|2|650,4340,DDU-NOIDA
Tarun Kapoor,97170 11114,tarun.kapoor33@gmail.com,03/08/2025 17:00,Assorted Sweets Box|gift-boxes|1|650; Assorted Sweets Box|gift-boxes|3|650,2600,DDU-CP
Harish Saxena,9717011335,harish.saxena83@gmail.com,03/08/2025 17:00,Kaju Katli|sweets|1|275; Gulab Jamun|sweets|3|180; Motichoor Ladoo|sweets|1|200; Motichoor Ladoo|sweets|3|200,1615,DDU-GK
Bad Date Row,7838012079,,2026-13-45,Samosa|namkeen|4|20,80,DDU-GK
